Posted_date,Job Title,Country,Company,Skill
11-19-2024,IT project manager,Germany,Geoforce,R
07-07-2019,IT project manager,Germany,Synthesis Systems,"LAN,R"
10-12-2018,IT project manager,Germany,Crossroads Technologies,R
10-21-2024,IT project manager,Germany,"Contact Government Services, LLC",R
10-09-2024,IT project manager,Germany,"Contact Government Services, LLC","LAN,R"
08-30-2024,IT project manager,Germany,"Contact Government Services, LLC",R
10-11-2024,IT project manager,Germany,Adidev Technologies Inc,"LAN,R"
04-20-2023,IT project manager,Germany,Rightnow Ministries International,"LAN,R"
12-03-2021,IT project manager,Germany,VYNYL,"Software Development,R"
11-04-2024,IT project manager,Germany,"Standard Motor Products, Inc.",R
11-04-2024,IT project manager,Germany,Indeed,"Software Development,R"
12-09-2024,IT project manager,Germany,iSeatz,"Software Development,R"
08-09-2024,IT project manager,Germany,Smart IMS,R
12-21-2023,IT project manager,Germany,CAST Software Inc.,"Software Development,R"
10-18-2024,IT project manager,Germany,Minitab,R
11-19-2024,IT project manager,Germany,"Blue Mountain Quality Resources, LLC","LAN,R"
11-22-2024,IT project manager,Germany,"Blue Mountain Quality Resources, LLC",R
11-22-2024,IT project manager,Germany,"Blue Mountain Quality Resources, LLC",R
12-05-2024,IT project manager,Germany,AT&amp;T,R
01-28-2024,IT project manager,Germany,Fults &amp; Associates,"Software Development,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,"Gin,Data Engineering,R"
08-04-2020,IT project manager,Germany,Lead Liaison,"Software Development,R"
06-10-2022,IT project manager,Germany,Palni,R
12-10-2024,IT project manager,Germany,Virtusa,"LAN,R"
05-15-2024,IT project manager,Germany,Photon,R
03-28-2024,IT project manager,Germany,Photon,"LAN,R"
03-07-2024,IT project manager,Germany,Photon,"LAN,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,R
08-06-2024,IT project manager,Germany,Nuvem,"Gin,Data Engineering,R"
11-06-2024,IT project manager,Germany,Citi,R
11-22-2024,IT project manager,Germany,Inclusion Cloud,"Software Development,R"
11-21-2024,IT project manager,Germany,Accenture,"LAN,R"
11-06-2024,IT project manager,Germany,Citi,R
12-03-2024,IT project manager,Germany,T-Mobile,"LAN,R"
12-03-2024,IT project manager,Germany,CAPCO,R
11-27-2024,IT project manager,Germany,Cognizant,"Software Development,R"
10-18-2024,IT project manager,Germany,Baer Group,"Software Development,R"
09-03-2024,IT project manager,Germany,Hitachi Digital Services,R
02-23-2024,IT project manager,Germany,Photon,"LAN,R"
06-16-2023,IT project manager,Germany,Energy Transfer Family of Partnerships,"Gin,Data Engineering,R"
11-27-2024,IT project manager,Germany,Cognizant,"Software Development,R"
12-05-2024,IT project manager,Germany,Accenture,"Software Development,R"
04-01-2022,IT project manager,Germany,Pixentia,"LAN,R"
08-29-2024,IT project manager,Germany,Topgolf Callaway Brands Corp.,"LAN,R"
10-29-2024,IT project manager,Germany,Wolters Kluwer,"Software Development,R"
09-17-2024,IT project manager,Germany,"Vizient, Inc.",R
01-10-2024,IT project manager,Germany,Fults &amp; Associates,"Software Development,R"
09-03-2024,IT project manager,Germany,Hitachi Digital Services,R
12-03-2024,IT project manager,Germany,T-Mobile,"LAN,R"
01-10-2024,IT project manager,Germany,Fults &amp; Associates,"Software Development,R"
08-29-2024,IT project manager,Germany,Topgolf Callaway Brands Corp.,"LAN,R"
10-29-2024,IT project manager,Germany,Wolters Kluwer,"Software Development,R"
11-06-2024,IT project manager,Germany,Citi,R
11-27-2024,IT project manager,Germany,Cognizant,"Software Development,R"
12-03-2024,IT project manager,Germany,CAPCO,R
06-16-2023,IT project manager,Germany,Energy Transfer Family of Partnerships,"Gin,Data Engineering,R"
11-27-2024,IT project manager,Germany,Cognizant,"Software Development,R"
10-18-2024,IT project manager,Germany,Baer Group,"Software Development,R"
04-01-2022,IT project manager,Germany,Pixentia,"LAN,R"
12-05-2024,IT project manager,Germany,Accenture,"Software Development,R"
02-23-2024,IT project manager,Germany,Photon,"LAN,R"
12-06-2024,IT project manager,Germany,Intone networks,"LAN,R"
10-22-2024,IT project manager,Germany,Photon,R
12-10-2024,IT project manager,Germany,zenith services,"Software Development,R"
09-17-2024,IT project manager,Germany,"Vizient, Inc.",R
06-25-2024,IT project manager,Germany,Photon,"LAN,R"
12-05-2024,IT project manager,Germany,Nuvem,"LAN,R"
01-09-2024,IT project manager,Germany,Fidelity TalentSource,"LAN,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,"LAN,R"
07-21-2020,IT project manager,Germany,Palni,"Software Development,R"
10-30-2024,IT project manager,Germany,CEDENT,"Software Development,R"
07-09-2024,IT project manager,Germany,"VIZIO, Inc.","Software Development,R"
12-08-2024,IT project manager,Germany,Fidelity TalentSource,R
11-20-2024,IT project manager,Germany,Digital Realty,"ORM,R"
09-20-2024,IT project manager,Germany,Gartner,"MAN,R"
11-07-2024,IT project manager,Germany,RisamSoft,R
06-12-2023,IT project manager,Germany,EZ4 Technologies,R
11-22-2024,IT project manager,Germany,Inclusion Cloud,R
07-26-2021,IT project manager,Germany,"Mentalix, Inc.","LAN,R"
10-31-2024,IT project manager,Germany,JSX,"Software Development,R"
11-18-2024,IT project manager,Germany,JPMorgan Chase,"LAN,R"
06-14-2024,IT project manager,Germany,Photon,"LAN,R"
12-05-2024,IT project manager,Germany,Deloitte,"LAN,R"
12-06-2024,IT project manager,Germany,Liberty Software,"LAN,R"
11-22-2024,IT project manager,Germany,Inclusion Cloud,"LAN,R"
12-05-2024,IT project manager,Germany,Deloitte,"LAN,R"
11-05-2024,IT project manager,Germany,KPMG,"LAN,R"
11-18-2024,IT project manager,Germany,Cognizant,R
07-31-2023,IT project manager,Germany,Augur IT,"LAN,R"
11-25-2022,IT project manager,Germany,Unigo,"LAN,R"
10-03-2024,IT project manager,Germany,Wells Fargo,"Software Development,R"
12-03-2024,IT project manager,Germany,Indeed,"Software Development,R"
11-18-2024,IT project manager,Germany,Raytheon,R
