id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
2662,11/15/2024,Data analyst,Social Media Data Analyst (w/m/d),TLGG Agency,https://media.licdn.com/dms/image/v2/D4E0BAQHWAsT_Sl6UXQ/company-logo_100_100/company-logo_100_100/0/1703072811080/tlgg_logo?e=1741219200&v=beta&t=e9O9rlIHW1Dhc1ejW_IwP_U1P-Nv68D-Midr2xRPYq8,germany,"Berlin, Berlin, Germany","Advertising, Analytical Skills, Analytics, Dashboards, Microsoft Excel, Social Media, Social Media Advertising, Social Media Analytics, Web Analytics,  Writing",NA,linkedin.com
2663,11/15/2024,Data analyst,Social Media Data Analyst (w/m/d),TLGG Agency,https://media.licdn.com/dms/image/v2/D4E0BAQHWAsT_Sl6UXQ/company-logo_100_100/company-logo_100_100/0/1703072811080/tlgg_logo?e=1741219200&v=beta&t=e9O9rlIHW1Dhc1ejW_IwP_U1P-Nv68D-Midr2xRPYq8,germany,"Berlin, Berlin, Germany","Advertising, Analytical Skills, Analytics, Dashboards, Microsoft Excel, Social Media, Social Media Advertising, Social Media Analytics, Web Analytics,  Writing",NA,linkedin.com
2664,11/15/2024,Data analyst,Social Media Data Analyst (w/m/d),TLGG Agency,https://media.licdn.com/dms/image/v2/D4E0BAQHWAsT_Sl6UXQ/company-logo_100_100/company-logo_100_100/0/1703072811080/tlgg_logo?e=1741219200&v=beta&t=e9O9rlIHW1Dhc1ejW_IwP_U1P-Nv68D-Midr2xRPYq8,germany,"Berlin, Berlin, Germany","Advertising, Analytical Skills, Analytics, Dashboards, Microsoft Excel, Social Media, Social Media Advertising, Social Media Analytics, Web Analytics,  Writing",NA,linkedin.com
2665,11/15/2024,Data analyst,Social Media Data Analyst (w/m/d),TLGG Agency,https://media.licdn.com/dms/image/v2/D4E0BAQHWAsT_Sl6UXQ/company-logo_100_100/company-logo_100_100/0/1703072811080/tlgg_logo?e=1741219200&v=beta&t=e9O9rlIHW1Dhc1ejW_IwP_U1P-Nv68D-Midr2xRPYq8,germany,"Berlin, Berlin, Germany","Advertising, Analytical Skills, Analytics, Dashboards, Microsoft Excel, Social Media, Social Media Advertising, Social Media Analytics, Web Analytics,  Writing",NA,linkedin.com
2666,11/15/2024,Data analyst,Social Media Data Analyst (w/m/d),TLGG Agency,https://media.licdn.com/dms/image/v2/D4E0BAQHWAsT_Sl6UXQ/company-logo_100_100/company-logo_100_100/0/1703072811080/tlgg_logo?e=1741219200&v=beta&t=e9O9rlIHW1Dhc1ejW_IwP_U1P-Nv68D-Midr2xRPYq8,germany,"Berlin, Berlin, Germany","Advertising, Analytical Skills, Analytics, Dashboards, Microsoft Excel, Social Media, Social Media Advertising, Social Media Analytics, Web Analytics,  Writing",NA,linkedin.com
2667,11/15/2024,Data analyst,Social Media Data Analyst (w/m/d),TLGG Agency,https://media.licdn.com/dms/image/v2/D4E0BAQHWAsT_Sl6UXQ/company-logo_100_100/company-logo_100_100/0/1703072811080/tlgg_logo?e=1741219200&v=beta&t=e9O9rlIHW1Dhc1ejW_IwP_U1P-Nv68D-Midr2xRPYq8,germany,"Berlin, Berlin, Germany","Advertising, Analytical Skills, Analytics, Dashboards, Microsoft Excel, Social Media, Social Media Advertising, Social Media Analytics, Web Analytics,  Writing",NA,linkedin.com
2668,12/05/2024,Data analyst,German Language Data Annotator - Remote in Germany,TransPerfect,https://media.licdn.com/dms/image/v2/C4E0BAQGjAYf8CSLV2Q/company-logo_100_100/company-logo_100_100/0/1638370935935/transperfect_logo?e=1741219200&v=beta&t=HV4Xdo44WxriVPMFHDO8nlhFJceVfiDUMG6STLaZA6c,germany,Germany,"Attention to Detail, English, German,  Problem Solving",NA,linkedin.com
2669,07/09/2024,Data analyst,Praktikant (m/w/d) Data Science,SÜDKURIER GmbH Medienhaus,https://media.licdn.com/dms/image/v2/C4E0BAQFhNUStzz2-gQ/company-logo_100_100/company-logo_100_100/0/1631309927272?e=1741219200&v=beta&t=91GehivLdUmHhcd-CWlwbpuhO6kX50gcIagtCWMtUsI,germany,"Constance, Baden-Württemberg, Germany","Analytical Skills, Computer Science, Computing, Editing, Journalism, Optimization, Personal Care Products, Personal Coaching, Spanish,  Work Processes",NA,linkedin.com
2670,11/29/2024,Data analyst,DHBW Bachelor of Science – Business Informatics – Data Science (01.09.2025),WGV - Württembergische Gemeinde-Versicherung a.G.,NA,germany,"Stuttgart, Baden-Württemberg, Germany","Analytical Skills, Computer Science, Easily Adaptable, Financial Management, German, Informatics, Literature, Mathematics, Otolaryngology,  Training",NA,linkedin.com
2671,11/15/2024,Data analyst,Data Scientist (m/w),RIB Group,NA,germany,"Berlin, Berlin, Germany","Analytics, Dashboards, Data Analytics, Data Science, Data Visualization, Deep Learning, Extract, Transform, Load (ETL), Natural Language Processing (NLP), SQL,  Statistics",NA,linkedin.com
2672,11/22/2024,Data analyst,Data Analyst (m/f/d) in the Energy Sector,Schluchseewerk Aktiengesellschaft,NA,germany,"Laufenburg, Baden-Württemberg, Germany","Continuing Education, Coordinating Skills, Data Analysis, Data Analytics, Data Visualization, Easily Adaptable, Problem Solving, Statistics, Thinking Skills,  Visual Basic for Applications (VBA)",NA,linkedin.com
2673,11/29/2024,Data analyst,Data Scientist / Biostatistician (m/f/d),Roche,https://media.licdn.com/dms/image/v2/D4D0BAQHPzvTi-YutVg/company-logo_100_100/company-logo_100_100/0/1688473923373/roche_logo?e=1741219200&v=beta&t=NmLDLrET_yeoG-bCJ6ZdlX-NkllsYtOF9nOMW8FuLKU,germany,"Penzberg, Bavaria, Germany","Algorithms, Analytical Skills, Data Analytics, Data Science, Deep Learning, Machine Learning, Presentations, Programming, Python (Programming Language),  Statistics",NA,linkedin.com
2674,11/29/2024,Data analyst,Working student in the field of data analysis and visualization (f/m/div.),Bosch,https://media.licdn.com/dms/image/v2/D4E0BAQFZSc1rOABvMw/company-logo_100_100/company-logo_100_100/0/1722849161753/bosch_logo?e=1741219200&v=beta&t=kSvZ3RjnUIw0hZu-hDqMX5fQpJTXvdiriXL2xyz9tjY,germany,"Kusterdingen, Baden-Württemberg, Germany","Analytical Skills, Coping, Dashboards, Data Analytics, English, Foreign Languages, German, Programming Languages, Spanish,  Stewardship",NA,linkedin.com
