id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
36,10-04-2024,Cloud Architect,Senior Application Security Analyst,Triumph Financial,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b2127b52d59e7fe8a3c4594ea0a07bf1,Germany,"Dallas, TX","RDS,R",NA,indeed.com
37,12-06-2024,Cloud Architect,Lead Cyber Threat Intelligence Analyst,McKesson,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/78a2315043a47d4c8b8d1c97da10f404,Germany,"Irving, TX","Software Development,R","$139,000 - $231,600 ",indeed.com
38,11-21-2024,Cloud Architect,"AVP, Application Security Dynamic Analyst",Synchrony,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d09f1a897f4f8d8b56478c6af2e7ddd3,Germany,"Dallas, TX",R,"$95,000 - $160,000 ",indeed.com
39,11-20-2024,Cloud Architect,Security Risk Analyst,Verizon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a7fd0283b663dde1820c3af59be9831b,Germany,"Irving, TX",R,NA,indeed.com
40,08-23-2024,Cloud Architect,Data Metrics Analyst - Cybersecurity,TEK NINJAS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f05f90301da28a2995493120b6dd0ff2,Germany,"Fort Worth, TX",R,$55 an hour,indeed.com
41,12-04-2024,Cloud Architect,Lead BISO Analyst,Deloitte,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b245a75ba4a28df29f8f1551ac296deb,Germany,"Dallas, TX","RDS,R","$97,600 - $200,600 ",indeed.com
42,12-05-2024,Cloud Architect,"Information Security Data Analyst (Application Security), VP (C13)",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Data Management,Data Engineering,R,Gin,MAN,Analytics","$125,760 - $188,640 ",indeed.com
43,11-08-2024,Cloud Architect,"Cyber Risk Analyst, VP",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Data Management,Data Engineering,R,Gin,MAN,Analytics","$125,760 - $188,640 ",indeed.com
44,12-10-2024,Cloud Architect,Business Information Security Office - Senior Lead Information Security Analyst,Wells Fargo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ced2b321a964f69975fedbffe05c4bb,Germany,"Westlake, TX",R,"$120,400 - $287,600 ",indeed.com
45,12-05-2024,Cloud Architect,IAM Business Enablement Lead - Senior Information Security Analyst,Wells Fargo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ced2b321a964f69975fedbffe05c4bb,Germany,"Westlake, TX",R,"$84,000 - $149,400 ",indeed.com
46,10-31-2024,Cloud Architect,Engineer Sr Analyst- AVP,Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","LAN,R","$96,400 - $144,600 ",indeed.com
47,10-09-2024,Cloud Architect,"SOC Cyber Fraud Fusion Analyst, AVP",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX",R,"$96,400 - $144,600 ",indeed.com
48,11-06-2024,Cloud Architect,Fraud Surveillance Analyst,Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX",R,NA,indeed.com
49,11-22-2024,Cloud Architect,Privacy and Compliance Analyst,Sabre,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c359c51cc59624fc547799b4c7804709,Germany,"Dallas-Fort Worth, TX",R,NA,indeed.com
50,10-01-2024,Cloud Architect,Sr. Cybersecurity Analyst,The Evolvers Group,NA,Germany,"Dallas, TX",R,NA,indeed.com
51,10-01-2024,Cloud Architect,Sr IT Security Analyst,Atmos Energy,NA,Germany,"Dallas, TX",R,NA,indeed.com
52,10-04-2024,Cloud Architect,Senior Application Security Analyst,Triumph Financial,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b2127b52d59e7fe8a3c4594ea0a07bf1,Germany,"Dallas, TX","RDS,R",NA,indeed.com
53,11-26-2024,Cloud Architect,"IT Governance, Risk &amp; Compliance Analyst",Shellpoint Mortgage Servicing,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3342de06fb8e55c22b82171578011484,Germany,"Coppell, TX","RDS,R",NA,indeed.com
54,12-09-2024,Cloud Architect,Cybersecurity Analyst,T-Mobile,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/91e8897f5c9b44217c8d1880e261c5c7,Germany,"Frisco, TX",R,"$70,300 - $126,800 ",indeed.com
55,11-26-2024,Cloud Architect,Sr. IT GRC Analyst,W.R. Berkley Corporation,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/7c55b6f9259c9b4ba7013e6b504bb108,Germany,"Irving, TX","Software Development,R",NA,indeed.com
56,09-23-2024,Cloud Architect,Sr IT Security Compliance Analyst,Atmos Energy,NA,Germany,"Dallas, TX",R,NA,indeed.com
57,11-27-2024,Cloud Architect,Cons Prod Strategic Analyst IV - Fraud Data Science Modeling,Bank of America,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/512761ac4c6cc1609dbb493d8c8e10f9,Germany,"Fort Worth, TX","Asset Management,R,MAN","$99,700 - $157,800 ",indeed.com
58,11-05-2024,Cloud Architect,Sr Information Security Analyst,UT Southwestern Medical Center,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d48ebf6a9506f82890a91b67661c4fd5,Germany,"Dallas, TX","RDS,R",NA,indeed.com
59,11-21-2024,Cloud Architect,CT - Senior Security Event Analyst,McKesson,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/78a2315043a47d4c8b8d1c97da10f404,Germany,"Irving, TX","Software Development,R","$116,700 - $194,500 ",indeed.com
60,11-26-2024,Cloud Architect,"IT Governance, Risk &amp; Compliance Analyst",Shellpoint Mortgage Servicing,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3342de06fb8e55c22b82171578011484,Germany,"Coppell, TX","RDS,R",NA,indeed.com
61,09-26-2024,Cloud Architect,"Security Incident Management Analyst, AVP",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Asset Management,R,MAN","$96,400 - $144,600 ",indeed.com
62,12-10-2024,Cloud Architect,Senior Director Analyst – Security Architect – Endpoint Protection SME - Remote United States,Gartner,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/09d3729ae8085a881e068e34a310dc27,Germany,"Irving, TX",R,"$150,000 - $190,000 ",indeed.com
63,10-10-2024,Cloud Architect,"CT Sr Information Security Analyst, DevSecOps",McKesson,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/78a2315043a47d4c8b8d1c97da10f404,Germany,"Irving, TX","Software Development,R","$116,700 - $194,500 ",indeed.com
64,09-16-2024,Cloud Architect,Senior Vulnerability Analyst,Veritex Bank,NA,Germany,"Dallas, TX",R,NA,indeed.com
65,11-24-2024,Cloud Architect,Cyber Managed Services - Threat Detection &amp; Response - Analyst,EY,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2138292378140570afde98e7103dbb54,Germany,"Dallas, TX",R,"$57,700 - $107,100 ",indeed.com
66,12-06-2024,Cloud Architect,"Senior SOC Analyst – Level 2, VP (C13)",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Software Development,R","$125,760 - $188,640 ",indeed.com
67,12-06-2024,Cloud Architect,"Senior SOC Analyst – Level 2, VP (C13)",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Software Development,R","$125,760 - $188,640 ",indeed.com
68,10-30-2024,Cloud Architect,"Cybersecurity Manager Control Assessment (MCA) Analyst, AVP",Citi,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3a65f2fd9d93f6c880484c373f0b34da,Germany,"Irving, TX","Data Management,Data Engineering,R,Gin,MAN,Analytics","$96,400 - $144,600 ",indeed.com
